region number,d13C,Age
1,3.29,180.5
1,4.16,180.5
1,3.6,180.5
1,3.02,180.5
1,1.51,180.5
1,4.39,180.5
1,4.59,180.5
1,2.66,180.5
1,3.30,180.5
1,3.30,180.5
1,2.95,180.5
1,3.5,180.5
1,2.87,180.5
1,1.25,180.5
1,2.47,180.5
1,4.1,180.5
1,1.04,180.5
1,3.75,180.5
1,3.75,180.5
1,1.56,180.5
1,1.39,180.5
1,1.89,180.5
1,2.45,180.5
1,2.16,180.5
1,1.73,180.5
1,1.71,180.5
1,2.23,180.5
1,2.22,180.5
1,3.15,180.5
1,2.73,180.5
1,0.52,180.5
1,0.52,180.5
1,0.52,180.5
2,2.20,180.5
2,-0.08,153.9
2,0.10,153.9
2,-0.08,153.9
2,0.10,153.9
2,-0.13,154.5
2,-0.13,154.5
2,-0.85,154.5
2,-0.85,154.5
2,0.05,154.5
2,0.05,154.5
2,-0.01,154.5
2,-0.01,154.5
2,-0.18,154.5
2,0.54,154.5
2,-0.09,154.5
2,0.39,154.5
2,-0.18,154.5
2,0.54,154.5
2,-0.09,154.5
2,0.39,154.5
2,0.67,158.8
2,0.67,158.8
2,0.11,158.8
2,0.11,158.8
2,0.92,158.8
2,0.92,158.8
2,0.82,158.8
2,0.82,158.8
2,1.46,158.8
2,1.46,158.8
2,1.08,158.8
2,1.08,158.8
2,1.32,158.8
2,1.32,158.8
2,0.72,158.8
2,0.72,158.8
2,0.14,158.8
2,0.14,158.8
2,0.46,158.8
2,0.46,158.8
2,0.92,158.8
2,0.92,158.8
2,1.28,158.8
2,1.28,158.8
2,0.50,158.8
2,0.50,158.8
2,1.16,158.8
2,1.16,158.8
2,0.79,158.8
2,0.79,158.8
2,1.79,158.8
2,1.79,158.8
2,0.51,158.8
2,0.72,158.8
2,0.51,158.8
2,0.72,158.8
2,1.98,158.8
2,1.98,158.8
2,0.63,159.4
2,1.02,159.4
2,0.63,159.4
2,1.02,159.4
2,1.15,159.4
